Date,PortfolioValue
2020-11-24,3.039867718027086
2020-11-25,2.9911228189806365
2020-11-26,3.022952228250177
2020-11-27,3.01848192918752
2020-12-01,3.0531765631645342
2020-12-02,3.054341327969979
2020-12-03,3.05933495113618
2020-12-04,3.090228313564206
2020-12-07,3.1143331011365643
2020-12-08,3.1235627170553117
2020-12-09,3.157348297235446
2020-12-10,3.144734168204358
2020-12-11,3.1535594315586226
2020-12-14,3.1645589824054485
2020-12-15,3.1669677290902865
2020-12-16,3.195491534175873
2020-12-17,3.2099039067881603
2020-12-18,3.2148376524774624
2020-12-21,3.1074142717182576
2020-12-22,3.141622074067033
2020-12-23,3.1750828919018206
2020-12-24,3.2118809987020946
2020-12-28,3.2426894083858695
2020-12-29,3.257461857021629
2020-12-30,3.2697385423346854
2020-12-31,3.269688729551446
2021-01-01,3.2788328902396944
2021-01-04,3.307302851241051
2021-01-05,3.32388557923675
2021-01-06,3.310622808776635
2021-01-07,3.308406557139092
2021-01-08,3.3606709307410556
2021-01-11,3.3949399479511424
2021-01-12,3.4145662523709324
2021-01-13,3.414915359831918
2021-01-14,3.4225865135849274
2021-01-15,3.38219227758375
2021-01-18,3.3441953639715236
2021-01-19,3.4039547760090993
2021-01-20,3.43477007950498
2021-01-21,3.4212068520724586
2021-01-22,3.3667056904825032
2021-01-25,3.333555637760016
2021-01-27,3.2659499317578464
2021-01-28,3.228643861288729
2021-01-29,3.183159341999703
2021-02-01,3.3437771563054843
2021-02-02,3.4351180470655263
2021-02-03,3.4705753167322104
2021-02-04,3.4969660939123703
2021-02-05,3.504109966170854
2021-02-08,3.551962898192192
2021-02-09,3.550337752601399
2021-02-10,3.5496377579911456
2021-02-11,3.5663385474471863
2021-02-12,3.5638377175266496
2021-02-15,3.601698782136337
2021-02-16,3.6013859938140618
2021-02-17,3.5752245640844853
2021-02-18,3.5527262876478014
2021-02-19,3.518422942689791
2021-02-22,3.441947987207221
2021-02-23,3.449958251536019
2021-02-24,3.5183928175653585
2021-02-25,3.547215360103775
2021-02-26,3.4051693287405205
2021-03-01,3.463122225708281
2021-03-02,3.5024496370362
2021-03-03,3.5840052956191912
2021-03-04,3.5427714649428985
2021-03-05,3.5071152868148325
2021-03-08,3.5116368536321
2021-03-09,3.5471615315641705
2021-03-10,3.566259258683777
2021-03-12,3.530289273682348
2021-03-15,3.5049369148695093
2021-03-16,3.5001784474764173
2021-03-17,3.4529342691257825
2021-03-18,3.4121428113998302
2021-03-19,3.4585660624462347
2021-03-22,3.4566692969049404
