Date,PortfolioValue
2014-07-07,1.7660762239217194
2014-07-08,1.7265137736210603
2014-07-09,1.7173084315049807
2014-07-10,1.7131529299951795
2014-07-11,1.6871035664866156
2014-07-14,1.685792031466712
2014-07-15,1.7032376153375777
2014-07-16,1.72677357538876
2014-07-17,1.730641289090433
2014-07-18,1.7362928337113233
2014-07-21,1.7411863054276566
2014-07-22,1.7613538784469225
2014-07-23,1.7680850412552935
2014-07-24,1.7764949420703335
2014-07-25,1.7668033516696113
2014-07-28,1.756728845508839
2014-07-30,1.7670289681971827
2014-07-31,1.750113328557219
2014-08-01,1.7214869090317397
2014-08-04,1.7410138933815833
2014-08-05,1.756178329554701
2014-08-06,1.73820791080868
2014-08-07,1.7327117040318687
2014-08-08,1.7132615221181509
2014-08-11,1.7270865960982085
2014-08-12,1.751448501617963
2014-08-13,1.7544631405371254
2014-08-14,1.7670416083566165
2014-08-18,1.7869608234048477
2014-08-19,1.7925747976689856
2014-08-20,1.7872133005749398
2014-08-21,1.7910284895952535
2014-08-22,1.7963655333399278
2014-08-25,1.7946988316909787
2014-08-26,1.7943245169767024
2014-08-27,1.8018840698241316
2014-08-28,1.806305086280037
2014-09-01,1.824027738996014
2014-09-02,1.837408982750887
2014-09-03,1.8450398799826253
2014-09-04,1.8405280074059567
2014-09-05,1.8383267933185
2014-09-08,1.8593816724748937
2014-09-09,1.85431107877105
2014-09-10,1.8400695497385255
2014-09-11,1.8380377470409313
2014-09-12,1.8428266862696807
2014-09-15,1.827465666933289
2014-09-16,1.8010870558389938
2014-09-17,1.811377993639414
2014-09-18,1.84502822074663
2014-09-19,1.846649123497791
2014-09-22,1.8526610268890809
2014-09-23,1.8215062645849123
2014-09-24,1.8178440780276734
2014-09-25,1.7959581218604024
2014-09-26,1.8097249737130245
2014-09-29,1.807320665412532
2014-09-30,1.8087461700119731
2014-10-01,1.8040948617603356
2014-10-07,1.7815908758513144
2014-10-08,1.7792493130189482
2014-10-09,1.8076966075095178
2014-10-10,1.7833902208934318
2014-10-13,1.7892566117843007
2014-10-14,1.7843669491077616
2014-10-16,1.7564099778175595
2014-10-17,1.7640075921450966
2014-10-20,1.7880608052521174
2014-10-21,1.7997350319978678
2014-10-22,1.8161963835468569
2014-10-27,1.815181406826857
2014-10-28,1.8238573309734343
2014-10-29,1.8390506521411858
2014-10-30,1.8580970649393498
2014-10-31,1.8951243540452245
2014-11-03,1.8955968730603905
2014-11-05,1.8990252309295625
2014-11-07,1.898710258198939
2014-11-10,1.9004670833077009
2014-11-11,1.9049261268708488
2014-11-12,1.909930890352734
2014-11-13,1.9037615972693258
2014-11-14,1.9115294012520396
2014-11-17,1.9214321033295527
2014-11-18,1.9202561036105712
2014-11-19,1.9096836256819552
2014-11-20,1.9144348869944574
2014-11-21,1.9327268134499929
2014-11-24,1.945535138903181
2014-11-25,1.9292636287513614
2014-11-26,1.9323319984724232
2014-11-27,1.9368075463069343
2014-11-28,1.959624806880453
2014-12-01,1.9517710234864336
2014-12-02,1.944198125841916
2014-12-03,1.947340655262453
2014-12-04,1.953832512763545
2014-12-05,1.9474969929337738
2014-12-08,1.923216177441661
2014-12-09,1.899560044750632
2014-12-10,1.9031828001266307
2014-12-11,1.8879753779760073
2014-12-12,1.871309627507712
2014-12-15,1.870220167150703
2014-12-16,1.8334220249139273
2014-12-17,1.8242818422420244
2014-12-18,1.8555857542439282
2014-12-19,1.8715319743883152
2014-12-22,1.895451275615099
2014-12-23,1.8816411688198678
2014-12-24,1.859143073404067
2014-12-26,1.8655802840411602
2014-12-29,1.8766176580355363
2014-12-30,1.8770898693780451
2014-12-31,1.8854316077864124
2015-01-02,1.9127400558680796
2015-01-05,1.908606983596435
2015-01-06,1.8477573793118545
2015-01-07,1.8416493798832454
2015-01-08,1.873694747090772
2015-01-09,1.8857757204103809
